label,c1,c2,h2,intensity
peak1,20.722,20.740,0.941,34712336
peak2,20.734,20.992,0.887,5097252
peak3,20.992,20.734,0.941,4083634
peak4,20.996,21.016,0.887,35573928
peak5,14.254,14.266,0.899,74194760
peak6,24.370,24.379,1.267,13216767
peak7,23.636,23.636,0.920,47289968
peak8,23.569,21.005,1.128,1451270
peak9,20.979,23.589,0.921,1855927
peak10,20.969,20.990,1.133,27318904
peak11,22.070,22.070,0.844,11887759
peak12,22.070,22.322,0.772,3274495
peak13,22.320,22.070,0.844,2443332
peak14,22.322,22.322,0.772,17860136
peak15,23.647,23.647,1.069,40056860
peak16,23.647,17.081,0.287,1180917
peak17,17.081,23.647,1.069,2613446
peak18,17.068,17.075,0.285,11412587
peak19,19.205,19.211,1.624,34259792
peak20,19.052,19.058,1.429,74330280
peak21,19.985,19.998,0.742,9129140
peak22,15.825,15.845,0.843,14883962
peak23,20.437,20.460,0.574,13749082
peak24,20.404,24.250,0.997,1690032
peak25,24.254,20.446,0.576,1269538
peak26,24.252,24.255,0.999,17025090
peak27,17.204,17.209,1.399,23126254
peak28,22.851,22.871,1.138,18346088
peak29,22.868,20.762,0.775,1115526
peak30,20.773,22.851,1.131,1495143
peak31,20.762,20.762,0.775,14998132
peak32,24.316,24.338,1.123,20626540
peak33,24.334,26.702,0.983,1501055
peak34,24.397,22.215,1.123,981758
peak35,26.689,24.324,1.124,1820862
peak36,26.679,26.699,0.983,28752382
peak37,25.506,25.527,0.219,13375435
peak38,25.573,22.956,0.059,1655839
peak39,23.055,25.426,0.214,868256
peak40,23.003,23.019,0.056,24767760
peak41,19.369,19.379,1.355,68470352
peak42,20.609,20.609,0.796,20436340
peak43,20.606,22.266,1.121,1770250
peak44,22.266,20.609,0.796,1086711
peak45,22.266,22.266,1.121,27864044
peak46,22.475,22.488,0.875,15426873
peak47,22.479,18.788,0.828,980861
peak48,22.495,23.532,1.290,994369
peak49,18.785,22.436,0.881,821074
peak50,18.797,18.799,0.827,9601033
peak51,18.774,27.814,0.924,986869
peak52,24.565,24.585,0.748,63605256
peak53,24.574,23.828,0.770,4094060
peak54,23.809,24.581,0.749,3422091
peak55,23.811,23.824,0.767,73737360
peak56,20.361,20.375,-0.905,11334462
peak57,13.557,13.578,0.105,27487834
peak58,23.577,23.581,1.816,30294900
peak59,20.132,20.135,-0.320,12802438
peak60,20.173,27.659,0.475,1613395
peak61,27.586,20.137,-0.320,1849310
peak62,27.589,27.598,0.475,12821931
peak63,27.105,27.126,0.981,39817900
peak64,27.122,22.795,0.820,2477724
peak65,22.774,27.122,0.978,2168805
peak66,22.779,22.787,0.819,25169174
peak67,20.221,20.236,1.108,31863946
peak68,20.273,19.546,0.673,824018
peak69,20.408,20.413,1.380,47344576
peak70,17.385,17.404,1.040,22145686
peak71,19.520,20.257,1.115,908588
peak72,19.449,19.462,0.666,10315954
peak73,17.765,17.774,1.472,25771234
peak74,19.305,19.316,1.547,21366230
peak75,23.192,23.192,0.836,12017615
peak76,23.216,20.763,0.396,2117847
peak77,20.779,23.192,0.836,855331
peak78,20.764,20.775,0.393,15015692
peak79,16.807,16.813,1.217,14403905
peak80,24.428,24.450,0.035,15432553
peak81,24.346,23.081,-0.202,957374
peak82,23.125,24.434,0.034,518204
peak83,23.090,23.114,-0.206,4600049
peak84,17.867,17.871,1.554,23865712
peak85,27.228,27.247,0.765,15734165
peak86,27.217,22.854,1.329,1541459
peak87,22.826,27.240,0.767,2166250
peak88,22.816,22.819,1.322,14190097
peak89,22.030,22.042,1.093,31118496
peak90,22.019,23.482,1.289,2238576
peak91,23.469,22.058,1.095,2059705
peak92,23.495,23.517,1.290,25126434
peak93,23.962,23.962,0.975,11762146
peak94,24.011,27.804,0.922,1283616
peak95,27.740,23.976,0.974,704420
peak96,27.780,27.797,0.925,14393488
peak97,22.441,22.434,-0.061,3258032
peak98,22.429,24.896,-0.239,1006748
peak99,24.796,22.418,-0.061,367859
peak100,24.795,24.795,-0.233,3073891
peak101,24.513,24.540,-0.173,2879169
peak102,24.536,21.429,0.854,1014744
peak103,21.591,24.574,-0.165,921348
peak104,21.454,21.456,0.848,15430907
peak105,17.165,17.181,1.325,34219924
peak106,18.740,18.740,1.411,55509608
peak107,21.034,21.034,0.817,202014544
peak108,21.034,20.671,0.741,5844156
peak109,20.671,21.034,0.817,6583836
peak110,20.671,20.671,0.741,102827264
peak111,22.586,22.609,0.767,26784944
peak112,25.954,25.954,0.657,76904904
peak113,25.954,24.072,0.542,2682590
peak114,26.006,18.431,0.242,970410
peak115,24.049,25.954,0.657,2546896
peak116,24.064,24.081,0.545,48857100
peak117,22.572,22.591,1.128,16950264
peak118,22.592,13.056,-0.572,2344584
peak119,22.580,25.949,0.669,1320175
peak120,22.536,25.409,0.639,1237242
peak121,25.693,25.693,1.028,53450328
peak122,25.656,23.932,1.279,3059352
peak123,23.919,25.693,1.028,3070805
peak124,23.904,23.925,1.278,42473748
peak125,17.294,17.311,0.041,35669192
peak126,13.042,22.580,1.126,1487044
peak127,13.034,13.052,-0.572,34044088
peak128,13.047,25.949,0.669,833005
peak129,13.046,25.414,0.651,828327
peak130,13.042,20.915,0.585,1224189
peak131,25.924,13.014,-0.571,1572382
peak132,25.949,25.949,0.669,90246168
peak133,25.402,25.415,0.651,103459080
peak134,25.867,20.900,0.585,1087849
peak135,25.949,19.912,0.653,847074
peak136,25.377,22.573,1.119,1038780
peak137,25.414,25.949,0.669,3653798
peak138,25.402,25.415,0.651,103459080
peak139,25.396,23.872,1.451,1291178
peak140,25.817,25.817,1.015,155684976
peak141,25.817,25.088,1.016,3658320
peak142,25.853,23.837,1.455,1896911
peak143,25.094,25.817,1.015,3813218
peak144,25.071,25.082,1.012,134186832
peak145,25.007,23.837,1.459,1293806
peak146,20.996,21.019,-0.314,24632748
peak147,21.000,17.061,-0.077,1714088
peak148,17.041,21.033,-0.313,1584583
peak149,17.039,17.055,-0.077,12515074
peak150,19.957,19.972,1.361,9752189
peak151,23.858,25.414,0.651,1378372
peak152,23.856,25.817,1.015,2480196
peak153,23.819,25.124,1.011,1516552
peak154,23.840,23.845,1.456,20882642
peak155,24.451,24.473,1.386,29983532
peak156,19.394,19.394,-0.301,22156242
peak157,19.394,19.217,-0.060,10383674
peak158,19.213,25.954,0.657,954439
peak159,19.217,19.394,-0.301,9583153
peak160,19.215,19.217,-0.060,29135684
peak161,19.215,20.681,-0.363,1416517
peak162,21.178,21.178,0.598,52095788
peak163,21.178,21.008,0.776,14845517
peak164,21.008,21.178,0.598,18313784
peak165,21.007,21.008,0.776,57142696
peak166,18.401,25.954,0.657,826354
peak167,18.384,18.392,0.243,32401712
peak168,18.380,20.668,-0.363,2561010
peak169,20.681,25.954,0.657,878918
peak170,20.704,19.197,-0.059,1458673
