label,c1,c2,h2,intensity
peak1,20.728,20.728,0.881,45185708
peak2,21.169,20.724,0.880,20427854
peak3,14.415,20.728,0.881,964005
peak4,25.693,20.727,0.879,1423664
peak5,23.554,20.727,0.881,2379496
peak6,21.169,21.169,0.864,46732440
peak7,20.728,21.164,0.863,19983890
peak8,14.415,21.167,0.864,1679175
peak9,25.693,21.167,0.863,1077196
peak10,23.554,21.169,0.864,1610720
peak11,14.415,14.414,0.880,74570456
peak12,20.728,14.414,0.881,1268712
peak13,21.169,14.413,0.880,3073664
peak14,21.059,14.415,0.881,3001597
peak15,25.050,25.053,1.140,26427918
peak16,23.703,25.052,1.142,1637199
peak17,21.059,25.050,1.140,2278902
peak18,21.059,21.058,1.254,19469688
peak19,14.415,21.059,1.250,758140
peak20,25.050,21.057,1.253,2510633
peak21,23.703,21.059,1.251,9183144
peak22,23.703,23.701,0.998,33333764
peak23,25.050,23.702,0.996,1902899
peak24,21.059,23.702,0.995,10006120
peak25,18.488,23.703,0.998,3306942
peak26,21.823,21.823,0.880,10541540
peak27,22.108,21.819,0.882,15493044
peak28,23.849,21.825,0.880,5763312
peak29,28.120,21.825,0.880,2841205
peak30,25.406,21.826,0.884,2902046
peak31,21.409,21.824,0.881,9133868
peak32,24.431,21.825,0.880,2634096
peak33,21.418,21.823,0.881,9133868
peak34,22.108,22.109,0.811,29157408
peak35,21.823,22.109,0.810,9554955
peak36,22.376,22.108,0.808,9227253
peak37,18.488,22.109,0.811,1952459
peak38,23.849,22.108,0.810,6075114
peak39,28.120,22.111,0.811,3381453
peak40,25.406,22.106,0.811,2126378
peak41,21.409,22.108,0.815,6713464
peak42,24.431,22.106,0.811,2269523
peak43,21.418,22.102,0.811,6713464
peak44,18.488,18.488,0.576,8266436
peak45,23.703,18.488,0.572,622880
peak46,21.059,18.485,0.576,863932
peak47,22.108,18.485,0.573,966349
peak48,22.376,18.488,0.576,6818290
peak49,22.376,22.376,0.880,31358710
peak50,22.108,22.373,0.882,17026692
peak51,18.488,22.374,0.881,13191011
peak52,19.284,22.374,0.880,195441
peak53,15.499,22.376,0.880,1451932
peak54,19.138,19.135,1.592,41329644
peak55,18.922,19.138,1.592,12510914
peak56,18.922,18.922,1.421,120815584
peak57,19.138,18.921,1.420,46662704
peak58,19.284,19.284,1.418,575993024
peak59,15.499,15.499,0.681,47415696
peak60,22.108,15.498,0.680,839627
peak61,22.376,15.499,0.681,1517051
peak62,18.183,18.183,1.456,29076056
peak63,17.846,17.846,1.476,50666848
peak64,23.554,23.554,1.059,32108270
peak65,20.728,23.554,1.057,2288139
peak66,21.169,23.557,1.056,2092704
peak67,25.693,23.553,1.059,19769992
peak68,25.288,23.553,1.058,2413637
peak69,15.862,23.554,1.059,5486872
peak70,25.693,25.691,0.841,56042000
peak71,20.728,25.691,0.840,2366684
peak72,21.169,25.693,0.841,1746851
peak73,23.554,25.692,0.837,18912246
peak74,25.288,25.692,0.841,500860
peak75,15.862,25.693,0.841,4270526
peak76,22.799,22.799,0.150,32091572
peak77,23.554,22.800,0.156,689182
peak78,25.288,22.796,0.153,11842863
peak79,15.862,22.797,0.156,3700815
peak80,17.429,22.799,0.154,2052586
peak81,19.630,22.797,0.156,643425
peak82,12.015,22.799,0.156,877778
peak83,25.288,25.288,-0.109,16622138
peak84,25.693,25.285,-0.107,1419194
peak85,23.554,25.288,-0.107,1398533
peak86,22.799,25.286,-0.109,10791063
peak87,15.862,25.285,-0.109,5713538
peak88,17.429,25.288,-0.111,748302
peak89,15.862,15.862,0.950,23491314
peak90,25.693,15.862,0.953,3989485
peak91,23.554,15.860,0.950,4973279
peak92,25.288,15.862,0.952,5165377
peak93,22.799,15.861,0.952,2681114
peak94,15.659,15.861,0.950,3602458
peak95,20.077,15.862,0.950,192586
peak96,15.659,15.657,1.047,25294622
peak97,15.862,15.659,1.048,8085966
peak98,18.487,18.487,0.869,17655432
peak99,22.160,18.488,0.869,13458545
peak100,24.954,18.487,0.865,1666759
